정책ID,정책서비스ID,서비스명,태그-신청절차,태그-지원유형,태그-지역(시도),태그-지역(시군구),태그-기업규모,태그-업종(대분류),태그-업력(시작),태그-업력(종료)
10749,495000000267,농산물 소형 저온저장고 설치 지원,오프라인,기타,전라남도,무안군,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10750,495000000268,농산물 우수관리 GAP 시설 보완 지원,오프라인,"현금,현물",전라남도,무안군,중소기업/소상공인,"농업, 임업 및 어업/광업/제조업/도매 및 소매업/운수 및 창고업/전문, 과학 및 기술 서비스업/사업시설 관리, 사업 지원 및 임대 서비스업",0.0,0.0
10752,495000000274,농업경영컨설팅 지원,오프라인,"현금,현물",전라남도,무안군,중소기업/소상공인,"농업, 임업 및 어업/전문, 과학 및 기술 서비스업/교육 서비스업",0.0,0.0
10753,495000000234,경관보전 비용 지원,오프라인,"현금,현물",전라남도,무안군,무관,"농업, 임업 및 어업",0.0,0.0
10754,483000000327,고추 비가림 재배 시설 지원,오프라인,"현금,현물",전라남도,나주시,중소기업/소상공인,"농업, 임업 및 어업",0.0,0.0
10755,483000000358,농어촌진흥기금 융자 지원,오프라인,"현금,현물",전라남도,나주시,무관,"농업, 임업 및 어업/제조업",0.0,0.0
10756,485000000228,산지통합마케팅 지원,복합,"교육,용역",전라남도,담양군,무관,"농업, 임업 및 어업",0.0,0.0
10757,483000000392,산림복합경영단지 조성 지원,오프라인,"현금,현물",전라남도,나주시,무관,"농업, 임업 및 어업",0.0,0.0
10758,485000000427,축산물 직거래 활성화 지원,오프라인,정보제공,전라남도,담양군,중소기업/소상공인,"농업, 임업 및 어업/제조업/도매 및 소매업",0.0,0.0
10759,480000000399,구제역 백신 접종비 지원,오프라인,"현금,현물",전라남도,목포시,무관,"농업, 임업 및 어업",0.0,0.0
10760,480000000509,유기질비료 지원,오프라인,"현금,현물",전라남도,목포시,무관,"농업, 임업 및 어업",0.0,0.0
10761,480000000583,풍수해보험료 지원,오프라인,"현금,현물",전라남도,목포시,무관,"농업, 임업 및 어업",0.0,0.0
10762,485000000229,6차산업 자금 융자 지원,오프라인,"현금,현물",전라남도,담양군,무관,"농업, 임업 및 어업/제조업/도매 및 소매업/전문, 과학 및 기술 서비스업",0.0,0.0
10763,483000000513,친환경농업인 유기농업 자재 등 지원,오프라인,"현금,현물",전라남도,나주시,중소기업/소상공인,"농업, 임업 및 어업/공공 행정, 국방 및 사회보장 행정",0.0,0.0
