기업체명,업력(월),기업규모,업종(대분류),지역(광역시도),지역(시군구)
(주)오케이맨파워,225,중기업,"사업시설 관리, 사업 지원 및 임대 서비스업",서울특별시,금천구
주식회사 드림뱅크,201,중소기업,부동산업,대구광역시,서구
주식회사 유세이홀딩스,240,판단불가,"전문, 과학 및 기술 서비스업",경기도,성남시
프랑크린오프쇼어코리아(주),242,판단불가,도매 및 소매업,부산광역시,강서구
주식회사 인영트레이딩,376,중소기업,제조업,서울특별시,중
덕유패널(주),305,중소기업,제조업,전라북도,군산시
(주)혜인자원,181,소기업,광업,경상북도,울진군
공덕동오피스텔제일차 주식회사,141,중소기업,금융 및 보험업,서울특별시,중구
주식회사대일씨텍,204,중소기업,제조업,경상북도,구미시
이티에듀(주),48,대기업,정보통신업,서울특별시,서초구
서두산업(주),477,중기업,광업,서울특별시,서초구
우진산업(주),565,중소기업,도매 및 소매업,전라남도,목포시
(주)지일이삼공교육,264,중기업,교육 서비스업,경기도,고양시
(주)한양정공,406,중소기업,제조업,인천광역시,남동구
주식회사 다원건설,448,판단불가,건설업,경기도,성남시
(주)행담오션파크,169,중소기업,제조업,충청남도,당진군
성우종합건설주식회사,231,중소기업,건설업,경기도,부천시
(주)세일교육,185,중기업,교육 서비스업,서울특별시,성북구
(주)으뜸상호저축은행,575,판단불가,금융 및 보험업,제주특별자치도,제주시
(주)대석개발,271,소기업,광업,경기도,화성시
남영토건주식회사,322,중소기업,부동산업,부산광역시,사하구
주식회사 케이디론,152,중소기업,부동산업,서울특별시,서초구
(주)부산관광호텔,측정제한,중소기업,부동산업,부산광역시,중구
(주)에이취.엠.에스,353,중소기업,도매 및 소매업,서울특별시,강남구
(주)브라운교육,197,소기업,정보통신업,서울특별시,성동구
군포에코텍(주),238,중소기업,"수도, 하수 및 폐기물 처리, 원료 재생업",경기도,군포시
(주)에스아이리소스,416,중기업,광업,서울특별시,종로구
대주주택 주식회사,399,중소기업,건설업,광주광역시,동구
(주)평화기업,289,중소기업,건설업,경상남도,창원시
(주)코스팩,367,중소기업,제조업,경기도,성남시
농업회사법인 신안천일염 주식회사,154,중소기업,제조업,전라남도,신안군
위브서울숲제삼차 주식회사,137,중소기업,금융 및 보험업,서울특별시,영등포구
(주)수산산업,171,소상공인,광업,제주특별자치도,서귀포시
(주)글로벌공영,221,중소기업,건설업,전라북도,전주시
에이치원건설주식회사,334,중소기업,건설업,충청남도,아산시
우림글로벌(주),218,중소기업,부동산업,경기도,용인시
갤럭시아미디어 (주),265,중소기업,정보통신업,서울특별시,강남구
(주)세스영어,254,중소기업,정보통신업,서울특별시,영등포구
퍼스트어메리칸권원보험㈜,244,중소기업,금융 및 보험업,서울특별시,마포구
주식회사 에이알,147,중소기업,부동산업,경기도,용인시
(주)모든투자개발,197,중소기업,부동산업,대구광역시,수성구
